Date,Open,High,Low,Close,Adj Close,Volume
2012-06-08,120.510002,120.589996,119.959999,120.180000,97.848404,1036400
2012-06-11,119.970001,120.440002,119.910004,120.169998,97.840248,573100
2012-06-12,120.000000,120.230003,119.760002,119.910004,97.628532,463000
2012-06-13,120.040001,120.320000,119.860001,120.180000,97.848404,563800
2012-06-14,120.209999,120.279999,119.820000,120.019997,97.718102,1362700
2012-06-15,120.370003,120.790001,120.370003,120.779999,98.336899,614000
2012-06-18,120.769997,120.839996,120.489998,120.720001,98.288048,1141100
2012-06-19,120.419998,120.629997,120.290001,120.589996,98.182175,665700
2012-06-20,120.470001,120.800003,120.209999,120.430000,98.051918,749100
2012-06-21,120.300003,120.360001,119.889999,119.919998,97.636719,1465000
2012-06-22,119.660004,119.760002,119.339996,119.339996,97.164482,1224600
2012-06-25,119.699997,119.919998,119.669998,119.889999,97.612297,713400
2012-06-26,119.650002,119.919998,119.550003,119.809998,97.547127,891100
2012-06-27,119.910004,120.000000,119.760002,119.930000,97.644852,637700
2012-06-28,120.089996,120.269997,119.870003,119.980003,97.685577,1219400
2012-06-29,119.559998,119.720001,119.199997,119.699997,97.457588,1011000
2012-07-02,119.430000,119.889999,119.400002,119.599998,97.664970,3269400
2012-07-03,119.610001,119.830002,119.610001,119.809998,97.836464,620000
2012-07-05,119.800003,120.190002,119.800003,120.070000,98.048782,717400
2012-07-06,120.300003,120.400002,120.110001,120.250000,98.195778,502100
2012-07-09,120.389999,120.610001,120.330002,120.480003,98.383583,1305300
2012-07-10,120.620003,120.980003,120.550003,120.790001,98.636757,498500
2012-07-11,120.839996,121.029999,120.660004,120.669998,98.538757,432600
2012-07-12,120.889999,120.919998,120.750000,120.910004,98.734703,430200
2012-07-13,120.809998,121.000000,120.580002,120.970001,98.783730,430600
2012-07-16,121.160004,121.459999,121.110001,121.110001,98.898033,485200
2012-07-17,121.099998,121.150002,120.709999,120.949997,98.767410,713200
2012-07-18,121.110001,121.110001,120.949997,120.980003,98.791855,446800
2012-07-19,120.889999,121.110001,120.800003,121.089996,98.881721,400800
2012-07-20,121.290001,121.559998,121.250000,121.470001,99.192017,424900
2012-07-23,121.599998,121.629997,121.360001,121.370003,99.110352,428300
2012-07-24,121.230003,121.519997,121.220001,121.440002,99.167526,497300
2012-07-25,121.440002,121.529999,121.150002,121.309998,99.061363,1313200
2012-07-26,121.070000,121.260002,120.860001,121.139999,98.922531,637800
2012-07-27,120.930000,120.949997,120.269997,120.790001,98.636757,657200
